Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ai/backend.rs                           144                55    61.81%          20                10    50.00%         135                49    63.70%           0                 0         -
ai/docai_cache.rs                       341                27    92.08%          14                 1    92.86%         162                13    91.98%           0                 0         -
ai/document_ai.rs                      2470              1540    37.65%         116                70    39.66%        1626               929    42.87%           0                 0         -
ai/gemini_client.rs                    1607               959    40.32%         105                68    35.24%        1163               652    43.94%           0                 0         -
ai/llamaparse.rs                        447               387    13.42%          22                17    22.73%         291               250    14.09%           0                 0         -
ai/openai_client.rs                     258               153    40.70%          27                19    29.63%         170                91    46.47%           0                 0         -
ai/pdfrest.rs                           203               203     0.00%          14                14     0.00%         133               133     0.00%           0                 0         -
ai/pyo3_bridge.rs                       626               334    46.65%          83                58    30.12%         430               237    44.88%           0                 0         -
ai/repair.rs                             65                13    80.00%           4                 1    75.00%          42                 7    83.33%           0                 0         -
ai/vision.rs                             76                76     0.00%           3                 3     0.00%          60                60     0.00%           0                 0         -
app/api_verification.rs                 456               145    68.20%          32                 5    84.38%         383               136    64.49%           0                 0         -
app/audit.rs                            562               156    72.24%          31                13    58.06%         308                60    80.52%           0                 0         -
app/cli.rs                             1265               854    32.49%          28                13    53.57%         859               570    33.64%           0                 0         -
app/config.rs                           823               120    85.42%          62                12    80.65%         551                81    85.30%           0                 0         -
app/env_spec.rs                          90                 4    95.56%          12                 0   100.00%          57                 4    92.98%           0                 0         -
app/error.rs                             41                41     0.00%           3                 3     0.00%          27                27     0.00%           0                 0         -
app/fontcache.rs                        216               187    13.43%          15                13    13.33%         129               110    14.73%           0                 0         -
app/gui.rs                             6359              5208    18.10%         249               182    26.91%        3978              3189    19.83%           0                 0         -
app/modals.rs                          2569              2428     5.49%          95                87     8.42%        1551              1459     5.93%           0                 0         -
app/notify.rs                            51                51     0.00%           2                 2     0.00%          29                29     0.00%           0                 0         -
app/paths.rs                             43                43     0.00%           7                 7     0.00%          25                25     0.00%           0                 0         -
app/preflight.rs                         39                 4    89.74%           4                 0   100.00%          27                 6    77.78%           0                 0         -
app/runtime.rs                         7269              5141    29.28%         227               138    39.21%        4089              2944    28.00%           0                 0         -
app/server.rs                           155                16    89.68%           8                 0   100.00%         144                16    88.89%           0                 0         -
app/telemetry.rs                        246                72    70.73%          23                 6    73.91%         156                56    64.10%           0                 0         -
app/theme.rs                             99                15    84.85%           3                 1    66.67%          87                18    79.31%           0                 0         -
app/watchdog.rs                         119                72    39.50%           4                 0   100.00%          79                49    37.97%           0                 0         -
bin/dump_text.rs                         60                60     0.00%           1                 1     0.00%          28                28     0.00%           0                 0         -
bin/test_pdfium.rs                        2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/validate.rs                          73                73     0.00%           2                 2     0.00%          44                44     0.00%           0                 0         -
engine/ai_confirm.rs                    110                39    64.55%           7                 1    85.71%          84                24    71.43%           0                 0         -
engine/balance.rs                       471                37    92.14%          19                 0   100.00%         274                20    92.70%           0                 0         -
engine/categorization.rs                 93                93     0.00%           1                 1     0.00%          35                35     0.00%           0                 0         -
engine/consensus.rs                      87                 8    90.80%           2                 0   100.00%          62                 8    87.10%           0                 0         -
engine/date_adjust.rs                   229                33    85.59%          13                 3    76.92%         134                21    84.33%           0                 0         -
engine/font_analysis.rs                 383               161    57.96%          35                16    54.29%         339               105    69.03%           0                 0         -
engine/font_replication.rs              268               124    53.73%          26                13    50.00%         164                73    55.49%           0                 0         -
engine/font_shaping.rs                   94                58    38.30%           7                 4    42.86%          53                31    41.51%           0                 0         -
engine/history.rs                       286                63    77.97%          21                 8    61.90%         198                54    72.73%           0                 0         -
engine/interactive_fallback.rs           16                16     0.00%           2                 2     0.00%          21                21     0.00%           0                 0         -
engine/layout.rs                          4                 0   100.00%           1                 0   100.00%          10                 0   100.00%           0                 0         -
engine/model.rs                         426                32    92.49%          30                 6    80.00%         219                 7    96.80%           0                 0         -
engine/number_format.rs                 422                76    81.99%          23                 2    91.30%         247                51    79.35%           0                 0         -
engine/offline_parser.rs                409                85    79.22%          21                 2    90.48%         278                60    78.42%           0                 0         -
engine/pdf_split_merge.rs               783               152    80.59%          33                15    54.55%         486               130    73.25%           0                 0         -
engine/pro_edit.rs                        8                 0   100.00%           2                 0   100.00%          13                 0   100.00%           0                 0         -
engine/resource_check.rs                200               200     0.00%          11                11     0.00%         125               125     0.00%           0                 0         -
engine/segments.rs                      216               108    50.00%          20                 9    55.00%         167                72    56.89%           0                 0         -
engine/statement.rs                     247               148    40.08%          21                11    47.62%         200               104    48.00%           0                 0         -
engine/transfer.rs                      254                82    67.72%          11                 2    81.82%         151                42    72.19%           0                 0         -
engine/transfer_test_harness.rs         171                 5    97.08%          12                 1    91.67%         113                 1    99.12%           0                 0         -
engine/typst_engine.rs                  389               229    41.13%          28                16    42.86%         199               106    46.73%           0                 0         -
engine/verification.rs                 1146               144    87.43%          47                22    53.19%         601               104    82.70%           0                 0         -
engine/workflow.rs                     1064               111    89.57%          67                13    80.60%         711                68    90.44%           0                 0         -
error.rs                                 72                68     5.56%          13                12     7.69%          68                62     8.82%           0                 0         -
extractors/geometry.rs                  170               170     0.00%           6                 6     0.00%          91                91     0.00%           0                 0         -
extractors/merger.rs                    118                19    83.90%           5                 1    80.00%          93                 9    90.32%           0                 0         -
extractors/ocrs_engine.rs               119                10    91.60%          10                 1    90.00%          76                10    86.84%           0                 0         -
extractors/templates.rs                 615               115    81.30%          49                25    48.98%         318                56    82.39%           0                 0         -
main.rs                                  91                29    68.13%           5                 4    20.00%          50                18    64.00%           0                 0         -
